run_id,seed,model,period,num_trades,avg_price,min_price,max_price,human_avg
2,42,llama3.3,1,5,17.80,17,18,14.49
2,42,llama3.3,2,9,16.11,13,19,14.1
2,42,llama3.3,3,5,17.80,13,19,13.5
