period,model,n_runs,llm_mean_price,llm_sd_price,llm_ci_lo,llm_ci_hi,human_mean_price,llm_mean_trades,human_ce_trades,ci_method
1,hermes3_refined,27,16.969,1.807,16.299,17.631,14.49,4.33,16,bootstrap_10000
2,hermes3_refined,22,16.924,1.835,16.191,17.68,14.1,4.23,16,bootstrap_10000
