period,model,n_runs,llm_mean_price,llm_sd_price,llm_ci_lo,llm_ci_hi,human_mean_price,llm_mean_trades,human_ce_trades,ci_method
1,gemma3-27b_refined,30,14.448,0.513,14.27,14.633,14.49,15.67,16,bootstrap_10000
2,gemma3-27b_refined,30,14.605,0.461,14.436,14.762,14.1,15.83,16,bootstrap_10000
3,gemma3-27b_refined,30,14.725,0.447,14.566,14.88,13.5,15.53,16,bootstrap_10000
