period,model,n_runs,llm_mean_price,llm_sd_price,llm_ci_lo,llm_ci_hi,human_mean_price,llm_mean_trades,human_ce_trades,ci_method
1,gemma3-27b_damo,30,14.371,0.537,14.18,14.563,14.49,15.9,16,bootstrap_10000
2,gemma3-27b_damo,30,14.484,0.619,14.275,14.709,14.1,15.8,16,bootstrap_10000
3,gemma3-27b_damo,30,14.738,0.395,14.602,14.878,13.5,15.53,16,bootstrap_10000
