period,model,n_runs,llm_mean_price,llm_sd_price,llm_ci_lo,llm_ci_hi,human_mean_price,llm_mean_trades,human_ce_trades,ci_method
1,gemma3-27b_drne,30,14.428,0.559,14.236,14.625,14.49,15.7,16,bootstrap_10000
2,gemma3-27b_drne,30,14.922,0.423,14.773,15.068,14.1,15.73,16,bootstrap_10000
3,gemma3-27b_drne,30,14.919,0.542,14.727,15.102,13.5,15.47,16,bootstrap_10000
