period,model,n_runs,llm_mean_price,llm_sd_price,llm_ci_lo,llm_ci_hi,human_mean_price,llm_mean_trades,human_ce_trades,ci_method
1,gemma3-27b_daag,30,14.64,0.538,14.452,14.828,14.49,15.73,16,bootstrap_10000
2,gemma3-27b_daag,30,14.589,0.44,14.433,14.74,14.1,15.53,16,bootstrap_10000
3,gemma3-27b_daag,30,14.876,0.468,14.705,15.035,13.5,14.8,16,bootstrap_10000
