period,model,n_runs,llm_mean_price,llm_sd_price,llm_ci_lo,llm_ci_hi,human_mean_price,llm_mean_trades,human_ce_trades,ci_method
1,gemma3-27b_grad_econ,30,14.168,0.418,14.025,14.317,14.49,15.83,16,bootstrap_10000
2,gemma3-27b_grad_econ,30,14.722,0.481,14.555,14.892,14.1,15.67,16,bootstrap_10000
3,gemma3-27b_grad_econ,30,14.906,0.545,14.722,15.104,13.5,14.93,16,bootstrap_10000
