period,model,n_runs,llm_mean_price,llm_sd_price,llm_ci_lo,llm_ci_hi,human_mean_price,llm_mean_trades,human_ce_trades,ci_method
1,gemma3-27b_dapa,30,14.276,0.514,14.098,14.458,14.49,15.9,16,bootstrap_10000
2,gemma3-27b_dapa,30,14.634,0.516,14.451,14.808,14.1,15.7,16,bootstrap_10000
3,gemma3-27b_dapa,30,14.788,0.364,14.665,14.922,13.5,14.93,16,bootstrap_10000
